OBJECTID,CITY,CITY_ID,CITY_TYPE,CITY_NAME,CITY_LABEL,COLOR_CODE,ABBR,CITY_NO,DESCRIPTN,URL,PHONE,OF_AREA_SM,FEAT_TYPE,COMMENT,COLOR_EGIS,POPULATION,ShapeSTArea,ShapeSTLength
47054,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,97729827.1113281,87319.8615854923
47055,,,City,Los Angeles,Los Angeles,9,,49,LA,http://www.lacity.org,2134733231,468.852,Breakwater,,"Gray - RGB 178,178,178",,22116.2822265625,979.78264452201
47056,,,City,Los Angeles,Los Angeles,9,,49,LA,http://www.lacity.org,2134733231,468.852,Breakwater,,"Gray - RGB 178,178,178",,53293.3818359375,2226.79412376194
47057,,,City,Los Angeles,Los Angeles,9,,49,LA,http://www.lacity.org,2134733231,468.852,Breakwater,,"Gray - RGB 178,178,178",,117938.926757812,4796.08839766816
47058,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,333098.407226562,2883.43643297751
47059,,,City,Los Angeles,Los Angeles,9,,49,LA,http://www.lacity.org,2134733231,468.852,Pier,,"Gray - RGB 178,178,178",,24184.3974609375,2580.47042041545
47060,,,City,Santa Monica,Santa Monica,2,,75,SMON,www.smgov.net,3104588411,8.147,Pier,,"Pink - RGB 255,190,232",,119503.512695312,2613.68672120851
47061,,,City,Malibu,Malibu,5,,51,MBU,www.ci.malibu.ca.us,3104562489,19.613,Pier,,"Orange - RGB 230,190,112",,22674.470703125,1416.76788275604
47062,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,4289302.75878906,14163.9858004604
47063,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,276269.297851562,2357.39894789067
47064,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,112510.193359375,1629.85550818976
47065,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,822139.831054688,4034.07382405551
47066,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,599947.057617188,3837.49003915076
47067,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,65293.24609375,1053.29826705155
47068,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,2804404.95898438,11140.3271158532
47069,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,2003189258.33496,427954.523034758
47070,,,City,Avalon,Avalon,2,,5,AVLN,www.cityofavalon.com,3105100220,2.92,Land,,"Orange - RGB 230,190,112",,80459284.1503906,58118.2685369228
47071,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,60773.171875,1142.76781170618
47072,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,4743.927734375,333.14168230701
47073,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1429.1943359375,149.844736546728
47074,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,343838.841796875,3302.40900042932
47075,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1834.6435546875,184.278261708757
47076,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1578.521484375,156.810469581324
47077,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,5496.8720703125,275.900165878294
47078,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,6323.14453125,309.173467609639
47079,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,3196.3427734375,221.062401210581
47080,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,66973.6884765625,1100.33281063377
47081,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,2030.9736328125,207.581437166268
47082,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,2885.1982421875,207.128137861918
47083,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,4253.1826171875,280.340288111353
47084,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,7006.234375,310.910686857843
47085,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1329.8740234375,162.697204443186
47086,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,616.6298828125,108.75360589836
47087,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,3497.0498046875,235.530733282738
47088,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,4636.419921875,295.910474861501
47089,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,6943.591796875,458.001450481516
47090,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1263.4716796875,160.162724556514
47091,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1968.259765625,192.076946626859
47092,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,3480.099609375,273.371399615377
