UNIT_ID,PARK_NAME,PARK_LBL,ACCESS_TYP,RPT_ACRES,GIS_ACRES,AGNCY_NAME,AGNCY_LEV,AGNCY_TYP,AGNCY_WEB,MNG_AGENCY,COGP_TYP,NDS_AN_TYP,NEEDS_ANLZ,TKIT_SUM,AMEN_RPT,PRKINF_CND,AM_OPNSP,AM_TRLS,TRLS_MI,TENIS_GOOD,TENIS_FAIR,TENIS_POOR,BSKTB_GOOD,BSKTB_FAIR,BSKTB_POOR,BASEB_GOOD,BASEB_FAIR,BASEB_POOR,Soccer_GOO,Soccer_FAI,Soccer_POO,MPFLD_GOOD,MPFLD_FAIR,MPFLD_POOR,FITZN_GOOD,FITZN_FAIR,FITZN_POOR,SK8PK_GOOD,SK8PK_FAIR,SK8PK_POOR,PCNIC_GOOD,PCNIC_FAIR,PCNIC_POOR,PLGND_GOOD,PLGND_FAIR,PLGND_POOR,POOLS_GOOD,POOLS_FAIR,POOLS_POOR,SPPAD_GOOD,SPPAD_FAIR,SPPAD_POOR,DGPRK_GOOD,DGPRK_FAIR,DGPRK_POOR,GYMNA_GOOD,GYMNA_FAIR,GYMNA_POOR,COMCT_GOOD,COMCT_FAIR,COMCT_POOR,SNRCT_GOOD,SNRCT_FAIR,SNRCT_POOR,RSTRM_GOOD,RSTRM_FAIR,RSTRM_POOR,CPAD_LAYER,LAT_DD,LON_DD,UnitID_2,TYPE,Shape_area,Shape_len
"46,498",Scout Park,Scout Park,Open Access,0.004,0.00376656,"Hermosa Beach, City of",City,City Agency,http://www.hermosabch.org/index.aspx?page=115,"Hermosa Beach, City of",Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City,33.86578765,-118.3887707,"46,498",Regional Open Space,164.0708435,60.73905282
"46,347",Unnamed site - Mountains Recreation and Conservation Authority,,Unknown Access,0.009,0.00921024,Mountains Recreation and Conservation Authority,Special District,Open Space District,http://www.mrca.ca.gov/,Mountains Recreation and Conservation Authority,Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special District,34.09726849,-118.5036513,"46,347",Natural Areas,401.1963111,100.2082645
"46,502",Third Street & Prospect Avenue Park,Third Street & Prospect Avenue Park,Open Access,0.012,0.0120022,"Hermosa Beach, City of",City,City Agency,http://www.hermosabch.org/index.aspx?page=115,"Hermosa Beach, City of",Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City,33.85817338,-118.3858699,"46,502",Regional Open Space,522.81378,132.7052254
"45,791",Crescent Place Triangle,Crescent Place Triangle,Open Access,0.016,0.01622558,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City,33.99130528,-118.4610462,"45,791",Regional Open Space,706.7832651,94.25203719
"7,201",Compton Creek & Bike Path,Compton Creek & Bike Path,Open Access,0.02,0.02014276,"Los Angeles - Flood Control District, County of",Special District,Flood District,http://dpw.lacounty.gov/lacfcd/,"Los Angeles - Flood Control District, County of",Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special District,33.89601157,-118.2361776,"7,201",Regional Open Space,877.415074,136.7624506
"12,414",Las Virgenes Municipal Water District Open Space,Las Virgenes Municipal Water District OS,No Public Access,0.022,0.02221527,Las Virgenes Municipal Water District,Special District,Water District,http://www.lvmwd.com/,Las Virgenes Municipal Water District,Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special District,34.12841496,-118.6550022,"12,414",Natural Areas,967.6932143,134.4871944
"12,424",Las Virgenes Municipal Water District Open Space,Las Virgenes Municipal Water District OS,No Public Access,0.026,0.02600588,Las Virgenes Municipal Water District,Special District,Water District,http://www.lvmwd.com/,Las Virgenes Municipal Water District,Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special District,34.16761552,-118.7506344,"12,424",Natural Areas,"1,132.81164",138.7317417
"12,821",Los Angeles City Water Resource Parkland,Los Angeles City Water Resource Parkland,No Public Access,0.027,0.02682526,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City,34.11874174,-118.392682,"12,821",Natural Areas,"1,168.503759",141.1441933
"45,809",Marco Place Parkway,Marco Place Parkway,Open Access,0.027,0.02746086,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City,33.9921875,-118.4596583,"45,809",Regional Open Space,"1,196.190416",139.8101353
"45,786",Amoroso Triangle,Amoroso Triangle,Open Access,0.028,0.02750214,"Los Angeles, City of",City,City Agency,http://lacity.org/,"Los Angeles, City of",Not Analyzed,Not Analyzed,false,false,false,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,City,33.99187805,-118.4590159,"45,786",Regional Open Space,"1,197.988632",139.9190921
